Moisture,ADC,Temperature,Humidity,crop,original_moisture,target_source
10.71,2930,30.8,53.0,Groundnut,10.71,custom_meter
10.96,2929,30.9,53.0,Groundnut,10.96,custom_meter
11.2,2928,30.9,53.0,Groundnut,11.2,custom_meter
11.2,2928,30.6,53.0,Groundnut,11.2,custom_meter
11.2,2928,30.3,53.0,Groundnut,11.2,custom_meter
11.2,2928,30.2,53.0,Groundnut,10.9,merged
11.2,2928,30.9,53.0,Groundnut,11.2,custom_meter
10.47,2931,30.8,53.0,Groundnut,10.9,merged
11.68,2926,30.6,53.0,Groundnut,11.68,custom_meter
12.16,2924,30.4,53.0,Groundnut,10.8,merged
11.2,2928,30.7,53.0,Groundnut,10.9,merged
13.34,2919,30.0,53.0,Groundnut,13.34,custom_meter
11.44,2927,30.5,53.0,Groundnut,10.8,merged
11.2,2928,30.7,53.0,Groundnut,10.9,merged
11.44,2927,30.2,53.0,Groundnut,11.44,custom_meter
11.2,2928,30.4,53.0,Groundnut,10.9,merged
11.2,2928,30.5,53.0,Groundnut,11.2,custom_meter
11.2,2928,30.2,53.0,Groundnut,10.9,merged
-5.76,2989,30.1,53.0,Groundnut,-5.76,custom_meter
11.2,2928,30.0,53.0,Groundnut,10.8,merged
12.4,2923,30.5,53.0,Groundnut,12.4,custom_meter
11.2,2928,30.3,53.0,Groundnut,11.2,custom_meter
10.96,2929,30.3,53.0,Groundnut,10.96,custom_meter
10.96,2929,30.4,53.0,Groundnut,10.96,custom_meter
11.44,2927,30.3,53.0,Groundnut,11.44,custom_meter
11.2,2928,30.0,53.0,Groundnut,10.8,merged
10.22,2932,30.8,53.0,Groundnut,10.22,custom_meter
16.06,2907,30.8,53.0,Groundnut,16.06,custom_meter
14.27,2915,30.7,53.0,Groundnut,14.27,custom_meter
16.06,2907,30.4,53.0,Groundnut,16.06,custom_meter
14.04,2916,30.2,53.0,Groundnut,14.04,custom_meter
-17.41,3024,30.9,53.0,Groundnut,-17.41,custom_meter
11.2,2928,30.7,53.0,Groundnut,10.9,merged
11.2,2928,30.8,53.0,Groundnut,10.9,merged
11.2,2928,30.4,53.0,Groundnut,10.9,merged
9.47,2935,30.4,53.0,Groundnut,9.47,custom_meter
12.4,2923,30.4,53.0,Groundnut,10.9,merged
10.71,2930,30.2,53.0,Groundnut,10.71,custom_meter
12.16,2924,30.7,53.0,Groundnut,12.16,custom_meter
-8.62,2998,30.6,53.0,Groundnut,-8.62,custom_meter
5.57,2950,30.6,53.0,Groundnut,5.57,custom_meter
12.4,2923,30.4,53.0,Groundnut,10.9,merged
12.4,2923,30.4,53.0,Groundnut,10.9,merged
12.4,2923,30.9,53.0,Groundnut,10.9,merged
9.97,2933,30.3,53.0,Groundnut,9.97,custom_meter
10.96,2929,30.6,53.0,Groundnut,10.96,custom_meter
12.64,2922,30.0,53.0,Groundnut,12.64,custom_meter
6.9,2945,30.0,53.0,Groundnut,6.9,custom_meter
11.44,2927,30.0,53.0,Groundnut,11.44,custom_meter
22.85,2873,30.0,53.0,Groundnut,22.85,custom_meter
10.96,2929,30.0,53.0,Groundnut,10.96,custom_meter
11.68,2926,30.6,53.0,Groundnut,11.68,custom_meter
11.2,2928,30.0,53.0,Groundnut,10.8,merged
11.44,2927,30.2,53.0,Groundnut,11.44,custom_meter
11.92,2925,30.3,53.0,Groundnut,11.92,custom_meter
12.64,2922,30.0,53.0,Groundnut,12.64,custom_meter
11.2,2928,30.4,53.0,Groundnut,10.9,merged
11.2,2928,30.4,53.0,Groundnut,10.9,merged
11.68,2926,30.6,53.0,Groundnut,11.68,custom_meter
9.97,2933,30.1,53.0,Groundnut,9.97,custom_meter
11.2,2928,30.3,53.0,Groundnut,11.2,custom_meter
16.49,2905,30.3,53.0,Groundnut,16.49,custom_meter
-0.61,2972,30.4,53.0,Groundnut,-0.61,custom_meter
11.2,2928,30.4,53.0,Groundnut,10.9,merged
13.34,2919,30.0,53.0,Groundnut,13.34,custom_meter
11.68,2926,30.7,53.0,Groundnut,11.68,custom_meter
11.2,2928,30.4,53.0,Groundnut,10.9,merged
11.2,2928,30.1,53.0,Groundnut,10.9,merged
12.4,2923,29.1,53.0,Groundnut,12.4,custom_meter
11.44,2927,30.0,53.0,Groundnut,11.44,custom_meter
7.16,2944,29.1,53.0,Groundnut,7.16,custom_meter
19.62,2890,29.8,53.0,Groundnut,19.62,custom_meter
11.2,2928,29.0,53.0,Groundnut,11.2,custom_meter
11.68,2926,29.6,53.0,Groundnut,11.68,custom_meter
11.44,2927,29.0,53.0,Groundnut,11.44,custom_meter
11.44,2927,29.8,53.0,Groundnut,11.44,custom_meter
10.71,2930,29.4,53.0,Groundnut,10.71,custom_meter
15.17,2911,29.5,53.0,Groundnut,15.17,custom_meter
11.68,2926,29.7,53.0,Groundnut,11.68,custom_meter
10.96,2929,29.4,53.0,Groundnut,10.96,custom_meter
10.47,2931,29.5,53.0,Groundnut,10.47,custom_meter
10.47,2931,29.3,53.0,Groundnut,10.47,custom_meter
11.2,2928,29.2,53.0,Groundnut,11.2,custom_meter
10.96,2929,29.2,53.0,Groundnut,10.96,custom_meter
11.2,2928,29.2,53.0,Groundnut,11.2,custom_meter
10.71,2930,29.8,53.0,Groundnut,10.71,custom_meter
11.2,2928,29.7,53.0,Groundnut,11.2,custom_meter
11.92,2925,29.7,53.0,Groundnut,11.92,custom_meter
12.4,2923,29.4,53.0,Groundnut,12.4,custom_meter
11.44,2927,29.5,53.0,Groundnut,11.44,custom_meter
11.44,2927,29.4,53.0,Groundnut,11.44,custom_meter
11.2,2928,29.5,53.0,Groundnut,11.2,custom_meter
11.2,2928,29.6,53.0,Groundnut,11.2,custom_meter
11.44,2927,29.3,53.0,Groundnut,11.44,custom_meter
10.47,2931,29.5,53.0,Groundnut,10.47,custom_meter
11.2,2928,29.5,53.0,Groundnut,11.2,custom_meter
7.94,2941,29.4,53.0,Groundnut,7.94,custom_meter
9.22,2936,29.0,53.0,Groundnut,9.22,custom_meter
9.97,2933,29.6,53.0,Groundnut,9.97,custom_meter
12.4,2923,29.1,53.0,Groundnut,12.4,custom_meter
7.16,2944,29.6,53.0,Groundnut,7.16,custom_meter
23.21,2871,29.5,53.0,Groundnut,23.21,custom_meter
11.2,2928,29.1,53.0,Groundnut,11.2,custom_meter
11.44,2927,29.5,53.0,Groundnut,11.44,custom_meter
11.68,2926,29.5,53.0,Groundnut,11.68,custom_meter
11.2,2928,29.5,53.0,Groundnut,11.2,custom_meter
19.42,2891,29.9,53.0,Groundnut,19.42,custom_meter
12.64,2922,29.9,53.0,Groundnut,12.64,custom_meter
7.42,2943,29.0,53.0,Groundnut,7.42,custom_meter
11.2,2928,29.0,53.0,Groundnut,11.2,custom_meter
11.2,2928,29.6,53.0,Groundnut,11.2,custom_meter
11.92,2925,29.1,53.0,Groundnut,11.92,custom_meter
11.2,2928,29.6,53.0,Groundnut,11.2,custom_meter
11.2,2928,29.1,53.0,Groundnut,11.2,custom_meter
12.4,2923,29.9,53.0,Groundnut,12.4,custom_meter
11.44,2927,29.9,53.0,Groundnut,11.44,custom_meter
11.44,2927,29.3,53.0,Groundnut,11.44,custom_meter
11.44,2927,29.8,53.0,Groundnut,11.44,custom_meter
15.62,2909,29.4,53.0,Groundnut,15.62,custom_meter
19.01,2893,29.2,53.0,Groundnut,19.01,custom_meter
19.82,2889,29.8,53.0,Groundnut,19.82,custom_meter
11.2,2928,29.4,53.0,Groundnut,11.2,custom_meter
7.16,2944,29.8,53.0,Groundnut,7.16,custom_meter
11.2,2928,29.1,53.0,Groundnut,11.2,custom_meter
11.2,2928,29.6,53.0,Groundnut,11.2,custom_meter
11.2,2928,29.1,53.0,Groundnut,11.2,custom_meter
7.94,2941,29.8,53.0,Groundnut,7.94,custom_meter
16.06,2907,29.4,53.0,Groundnut,16.06,custom_meter
11.2,2928,29.5,53.0,Groundnut,11.2,custom_meter
14.04,2916,29.1,53.0,Groundnut,14.04,custom_meter
9.97,2933,29.8,53.0,Groundnut,9.97,custom_meter
11.68,2926,29.4,53.0,Groundnut,11.68,custom_meter
9.47,2935,29.0,53.0,Groundnut,9.47,custom_meter
11.44,2927,29.3,53.0,Groundnut,11.44,custom_meter
13.81,2917,29.2,53.0,Groundnut,13.81,custom_meter
9.72,2934,29.8,53.0,Groundnut,9.72,custom_meter
13.34,2919,29.4,53.0,Groundnut,13.34,custom_meter
12.4,2923,29.9,53.0,Groundnut,12.4,custom_meter
12.4,2923,29.4,53.0,Groundnut,12.4,custom_meter
11.44,2927,29.2,53.0,Groundnut,11.44,custom_meter
11.92,2925,29.2,53.0,Groundnut,11.92,custom_meter
10.71,2930,29.0,53.0,Groundnut,10.71,custom_meter
11.2,2928,29.3,53.0,Groundnut,11.2,custom_meter
11.2,2928,29.8,53.0,Groundnut,11.2,custom_meter
13.81,2917,29.3,53.0,Groundnut,13.81,custom_meter
15.39,2910,29.2,53.0,Groundnut,15.39,custom_meter
11.2,2928,29.2,53.0,Groundnut,11.2,custom_meter
11.68,2926,29.8,53.0,Groundnut,11.68,custom_meter
11.2,2928,29.3,53.0,Groundnut,11.2,custom_meter
8.46,2939,29.2,53.0,Groundnut,8.46,custom_meter
11.2,2928,29.8,53.0,Groundnut,11.2,custom_meter
11.68,2926,29.4,53.0,Groundnut,11.68,custom_meter
23.92,2867,29.0,53.0,Groundnut,23.92,custom_meter
11.2,2928,29.9,53.0,Groundnut,11.2,custom_meter
8.96,2937,29.6,53.0,Groundnut,8.96,custom_meter
12.4,2923,29.0,53.0,Groundnut,12.4,custom_meter
11.2,2928,29.5,53.0,Groundnut,11.2,custom_meter
11.68,2926,29.9,53.0,Groundnut,11.68,custom_meter
